"Reference","Sheet","Function","Current EBOM Status","Prototype Population Status","Reason","Required For First Power-Up","Required For Functional Testing","Required For Safety Testing","Required For USB Programming","Required For Motion Testing","Required For Expansion Testing","Installation Phase"
"J4","09_Connectors_Test","S1/H04 LEFT-RIGHT limits","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"J5","09_Connectors_Test","S1/H05 UP-DOWN limits","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"J6","09_Connectors_Test","D1/H06 OLED; 0.20m; no live mate","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"J7","09_Connectors_Test","D1/H07 BME280; 0.20m; no live mate","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"J8A","09_Connectors_Test","S1/H08A dedicated STOP; unique key","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"J8B","09_Connectors_Test","L1/H08B ordinary UI; incompatible with J8A","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"J9","09_Connectors_Test","R1/H09 SELV dry contact; 0-30VDC 1A","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage G - relay and motion outputs"
"R901","09_Connectors_Test","5.1 kΩ ±1% CC1 Rd","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage A - bare-board inspection"
"R902","09_Connectors_Test","5.1 kΩ ±1% CC2 Rd","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage A - bare-board inspection"
"R903","09_Connectors_Test","DNP 1 MOhm shield bleed option","NOT YET FROZEN","DNP - DEFAULT","Released optional/DNP function; retain unpopulated unless a controlled prototype test requires it.","NO","NO","NO","NO","NO","NO","Stage A - bare-board inspection"
